fire Name,fire Overview,url,Incident Type,Incident Commander,Coordinates,Fuels Involved,Projected Incident Activity,Incident Cooperator,Location,Incident Description,Size,Total Personnel,Remarks,Cause,Planned Actions,Weather Concerns,Date of Origin,Significant Events,Percent of Perimeter Contained,Estimated Containment Date
Slash Pile Burning 2021,"

Image options: [ Full Size ]Fuels reduction programs involve mechanical or hand thinning projects, removing trees to reduce forest density and improve forest health. While larger logs are removed for use, unmarketable limbs, saplings, and brush are piled up for burning. Hand piles result from crews using chainsaws to thin the forest and then piling the sawn material; machine piles result from using logging equipment and primarily consist of tree limbs left behind after marketable material is removed.    Piles are only ignited when fuels managers are confident that the project can be undertaken safely and successfully. Snow cover, fuel moisture, precipitation, wind, temperature, and available firefighter staffing are all considered before beginning a pile burn. Piles which are ready for burning are prioritized based on elevation, aspect, access, and proximity to homes. Smoke, flames, and glowing embers are often visible, and are a normal part of pile burning operations. Snow helps contain the piles and firefighters monitor the area during and after the burn. Public and firefighter safety is always the number-one priority in burning operations.    Prescribed fire smoke may affect your health; for more information see http://www.colorado.gov/pacific/cdphe/wood-smoke-and-health/.    To get the latest updates on when and where burning will occur, follow us on Twitter and Facebook @usfsarp. To receive our updates, send an e-mail to katherine.armstrong@usda.gov and provide the general area you are interested in (i.e. Boulder, Gilpin, Clear Creek, Grand, Larimer).       Areas on the Sulphur Ranger District (Grand County) with hand and machine piles ready for burning:   Upper Fraser: 2,000 hand piles General Location: Southwest of Fraser and Winter Park  Boham: 30 machine piles General Location: South of Keyser Creek on Keyser RidgeSimpson: 20 machine piles General Location: North of Keyser Creek along FSR259Blue Ridge: 10,000 hand piles General Location: South of County Road 55 along Blue Ridge St Louis Creek: 7 machine piles General Location: Fraser experimental Forest Rd 160 and 164 High Lonesome: 75 hand piles General Location: FSR 129, W of Meadow Creek ReservoirBlue Ridge Machine: 30 machine piles General Location: South of CR55 along the top of Blue RidgeWinter Park Fuels: 500 hand piles General Location: South of County Road 50 and north of the Fraser Experimental ForestBlue Ridge Unit 15: 30 hand piles General Location: West of CR 50 at the Horseshoe TrailheadKawland 88: 10 machine piles General Location: Between Vasquez and East Elk Creeks on FSR 159    

 Areas on the Clear Creek Ranger District (Clear Creek County) with hand piles ready for burning:    Yankee Hill: 300 machine piles General Location: Near Pickle Gulch and Cold Springs campgrounds on west side of Highway 119    Areas on the Boulder Ranger District (Gilpin and Boulder Counties) with hand and machine piles ready for burning:    Lump Gulch 18: 1,500 hand piles General Location: Gilpin County a half-mile north of Rollinsville on Westside of Hwy 119 Peak to PeakLump Gulch 29, 30: 150 hand piles General Location: Gilpin County west side of Lump Gulch Road, 1.5 miles south of Rollinsville on west side of Highway 119Lump Gulch 35: 500 hand piles General Location: Gilpin County South Side of Gilpin Rd, 3 miles south of Rollinsville on west ide of Hwy 119 Peak to Peak Lump Gulch 35: 150 machine piles General Location: Gilpin County south side of Gilpin Road, 3 miles south of Rollinsville on west side of Highway 119Lump Gulch 38: 500 hand piles General Location: Gilpin County off South Beaver Rd (South Side) mile east of Highway 119James Creek RFB Unit 1: 800 hand piles General Location: 1.5 miles northwest of Jamestown, west of CR87James Creek RFB Units 6, 8: 5,000 hand piles General location: Half mile south of Jamestown or quarter mile east of Bar K RanchJames Creek Unit RFB Unit 10: 1,500 hand piles General location: 2 miles east of Peak to Peak Highway on CR52James Creek RFB 17: 1,425 hand piles General Location: Half-mile north Cal-Wood Education CenterJames Creek Unit M1701: 8,000 hand piles General Location: East of Hwy 72 near Peaceful ValleySt Vrain 12A, 12B, 12d: 50 piles General Location: In the town of Meeker ParkSt Vrain Units 15a, 15b: 6,000 hand piles General Location: 5 miles west of Lyons, north side of Ralph Price Reservoir (Button Rock)Forsythe II Units 38, 45: 500 hand piles General Location:1.5 miles northwest of Wondervu, west side of Gross Reservoir 
 Areas on the Canyon Lakes Ranger District (Larimer County) with hand and machine piles ready for burning:     Stub Creek: 7 hand piles General Location: At the U.S. Forest Service Stub Creek Work Center and south of GlendevyThompson River 4: 10,500 hand piles General Location: 6 miles east of Estes ParkThompson River 3: 4,200 hand piles General Location: Hwy-36 and Lions Gulch Trailhead, near Estes Park, COCedar Park 1: 10,000 hand piles General Location: Hwy-34 and FSR-128 Storm Mountain Road, near Drake, COCedar Park 2: 3,780 hand piles General Location: FSR 128 and Cedar Park subdivision, near Drake, COMagic Sky 4: 7,000 hand piles General Location: CR-74E and Red Feather Highlands subdivision, east of Red Feather Lakes, COMagic Sky 4 “Elk Units”: 500 hand piles (mostly completed) General Location: CR-86 and FSR-501, near Red Feather Lakes, COElkhorn 3: 5 machine piles General Location: Intersection of CR86 and FSR309Deadman Roadside: 42 machine piles General Location: Along the CR86 and FSR 260 corridors, west of Red Feather Lakes, COFSR200 “Roadside”: 18 machine piles General Location: FSR-200 and “Old Roach Area”, south of Wycolo, WYTSI-200: 400 hand piles General Location: Intersection of CR80C and CR169 (Pearl Beaver Road)Estes Valley - Fish Creek: 150 hand piles General Location: FSR119 near Little Valley subdivision, south of Estes Park, CO 

",https://inciweb.nwcg.gov/incident/4648/,Prescribed Fire,Arapaho and Roosevelt National Forests,"40.559 latitude, -105.086 longitude",Piled Fuels,Pile burning ongoing as conditions allow,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Elkhorn-Pingree Hill Prescribed Burns,"

Image options: [ Full Size ]Since ignitions began last week on the Elkhorn portion of the Elkhorn-Pingree Hill Prescribed Burn in the Poudre Canyon, 450 acres have burned. Firefighters are staffing the burn today and the area received precipitation yesterday. No ignitions are planned today and there is minimal smoke visible. Firefighters will continue to monitor the burn and watch conditions for the next available burn window. This will be the last update unless conditions change until ignitions can resume. 
The Elkhorn - Pingree Hill Prescribed Burn is located in the Poudre Canyon. Firefighters burned portions of Pingree Hill in 2014, 2016, 2017 and 2018. No burning has taken place yet on Elkhorn. The Pingree Hill Prescribed Burn is located northeast of Rustic at the intersection of Highway 14 and Pingree Hill road, south of Kelly Flats Road and is 1,913 acres. The Elkhorn Prescribed Burn is located approximately two miles northwest of Rustic, south of Sevenmile Road, above the Arrowhead Visitor Center and is 2,191 acres.
Appropriate conditions must be met before ignition of prescribed burns can take place. Fire managers are carefully monitoring these conditions, including a favorable weather forecast (temperature, wind, precipitation, etc.), fuel moisture, smoke dispersal and staffing. Weather is monitored throughout the burn and burning will be halted if conditions fall outside of the required conditions.   In ideal conditions, as many as 500 acres could be burned in one day. The goal of the burn is to reduce hazardous fuels and improve wildlife habitat. Work has already taken place within this project area to help ensure the burn stays within its identified perimeter.   Prescribed fire smoke may affect your health. For more information see https://www.colorado.gov/pacific/cdphe/wood-smoke-and-health. To check the latest updates on when this burn will occur, check our recorded incident information line at 970-498-1030 or follow us on Twitter @usfsclrd. To get added to the email notification list, send an email to rcloudman@fs.fed.us.   If you have specific questions related to this prescribed burn, please contact Reghan Cloudman at 970-295-6770. 

",https://inciweb.nwcg.gov/incident/4727/,Prescribed Fire,Canyon Lakes Ranger District,"40.716 latitude, -105.635 longitude",N/A,N/A,N/A,"Poudre Canyon, north of Highway 14 on either side of Rustic",Prescribed burn to reduce hazardous fuels and improve forest health and wildlife habitat.,"4,104 Acres",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Bighorn Sheep Prescribed Burn,"

Image options: [ Full Size ]Firefighters successfully burned over 400 acres of the Bighorn Sheep Prescribed Burn. Burning of the remaining acres is expected to take place in early 2020 when conditions allow.
 
Fire managers on the Canyon Lakes Ranger District are monitoring conditions on the Roosevelt National Forest to conduct the Bighorn Sheep Prescribed Burn in the Poudre Canyon in an effort to improve wildlife habitat and reduce hazardous fuels. Burning could begin as soon as February 25 and continue as conditions allow.This prescribed burn is located on the north side of the Poudre Canyon near the Roaring Creek Trailhead, approximately eight miles west of Rustic. The project is 636 acres, with 85% of these acres on National Forest System lands and the other 15% on Colorado Parks and Wildlife lands. Burning expected to take place when south facing slopes within the project area generally have minimal to no snow and north facing slopes have snow cover to contain the burn. Appropriate conditions must be met before burning can take place, including favorable weather forecast (wind, precipitation, etc.), fuel moisture, smoke dispersal and staffing. Weather is monitored throughout the burn and burning will be halted if conditions fall outside of the required conditions. In ideal conditions, as many as 500 acres could be burned in one day. The burn will be staffed with approximately 10-15 firefighters and may include support from local agencies and volunteer fire departments. Public and firefighter safety is always the number one priority in burning operations.There may be smoke impacts or temporary delays in access on the Roaring Creek Trail while burning operations are taking place. There are many hiking opportunities in the Poudre Canyon. Check for alternatives at https://www.fs.usda.gov/recarea/arp/recarea/?recid=36603. Detailed information about this burn is available at https://inciweb.nwcg.gov/incident/5676/. To get added to the email notification list for the Bighorn Sheep Burn, please send an email to rcloudman@fs.fed.us and identify this prescribed burn in the subject line. Prescribed fire smoke may affect your health. For more information see https://www.colorado.gov/pacific/cdphe/wood-smoke-and-health. 


",https://inciweb.nwcg.gov/incident/5676/,Prescribed Fire,USDA Forest Service & Colorado Parks and Wildlife,"40.718 latitude, -105.731 longitude",N/A,N/A,N/A,"Approximately 8 miles west of Rustic, Colo.",N/A,636 Acres,15,Approximately 400 acres have been burned.,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021 Umatilla NF Prescribed Fire,"

Image options: [ Full Size ]The Umatilla National Forest prescribed fire page contains information on the Forest's planned, active and completed prescribed burning for 2021. In general, there are two burn seasons each year to accomplish prescribed fire projects. Early season burns typically occur in late winter through the early fire season in late spring/early summer. Late season burns typically occur in late fire season and into December. The specific dates of a burn during a season is dependent on many variables including wildfire activity, resource availability, current and predicted weather, and smoke management constraints. 
Frequent, low-intensity fire is essential for healthy forests and reducing the risk of uncharacteristic wildfire caused by excessive fuel buildup. Prescribed burning is an effective tool for removing excessive amounts of brush, shrubs, and trees, while also encouraging the growth of native vegetation. 
NEW! Prescribed Fire Activity Interactive Map (This interactive map will be best viewed using Chrome, Safari, Firefox or Internet Explorer 9 or higher).Check out our interactive prescribed burn map for information on active burn units, burn unit locations and more. This interactive map allows the user to zoom in on certain areas and click on a burn unit for more information (such as acreage, status, etc). 
Prescribed Fire Status:
Active - Unit is planned to be burned shortly, is currently being burned, or was burned very recentlyCompleted - Ignitions are complete and the unit will be patrolled until declared outNot Active- Unit is being considered for burning 
The data represents the recently completed, active, upcoming, and out-year prescribed fire planning for the Umatilla National Forest. All units have been analyzed under the National Environmental Policy Act (NEPA). Burning typically takes place once all other activities described in the project analysis have been completed. Prescribed burning is highly dependent on precise weather and fuel conditions, and managers coordinate with the Oregon Department of Forestry to minimize air quality impacts to local communities.


",https://inciweb.nwcg.gov/incident/5808/,Prescribed Fire,N/A,"45.67 latitude, -118.87 longitude",N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Recreationists, hunters, and other forest users should be aware of potential prescribed fire areas listed when selecting areas to camp and/or hunt. Please refer to this site to aid in the planning of your trip, or call the office at 541-278-3716",Prescribed/planned,None,"Prescribed burning is highly dependent on weather conditions. Conditions have to be within narrow criteria window in order to use prescribed fire. Wind speed and direction, temperatures, relative humidity, and fuel moistures are all taken into consideration.",N/A,N/A,N/A,N/A
Kaibab NF South Zone Rx Fire,"

Image options: [ Full Size ]Fire managers on the Kaibab National Forest are well into the 2021 fall and 2022 spring prescribed fire burning season that began in October of this year. Prescribed fires will be occurring at multiple locations on the north zone and south zone of the Kabab National Forest. The Grand Canyon National Park will also be conducting prescribed burns over the next few months on both the north and south rims. 
Winter weather with snow on the ground present excellent opportunities every year for fire crews to burn and consume piled slash and woody debris left over from previous forest restoration projects.  For the month of January, approximately 1100 acres of piles south and southwest of the city of Williams are planned for burning with an additional 600 acres on the Tusayan Ranger District.  
  
   
 
 

 


",https://inciweb.nwcg.gov/incident/5922/,Prescribed Fire,Tyler Knight RXB3,"35.186 latitude, -112.217 longitude","Ponderosa Pine, Oak, Grasses",Pile Burning on Bill Williams Mouintain.,N/A,South of Williams,Pile Burning,"1,100 Acres",15,"Visitor's should always use extra caution when passing through any area where prescribed burns are occurring.
Burning piles typically produce far less smoke that broadcast burning. Igniting early in the day provides more time for smoke to lift and ventilate away reducing overnight inversion and long-term impacts to local areas.",N/A,Operations will begin today on the Williams district near the peak of Bill Williams Mountain. Smoke may be visible in the surrounding areas of the community below.,"Smoke may be visible at times from highways and developed areas around these burns, however is expected to disperse rapidly during the day. Residual smoke may settle into drainages and low-lying areas overnight.","Thursday December 09th, 2021 approx.   10:00 AM",Pile Burns occurring on Williams & Tusayan Ranger Districts,N/A,N/A
San Juan NF Prescribed Fire Program,"

Image options: [ Full Size ]The San Juan National Forest Fuels Management Staff are planning pile burns this winter during optimal weather windows, primarily after snowfall.Planned pile burns:Dolores Ranger District
 This Thursday, Jan 20, 2020, the Dolores Ranger District Fire and Fuels staff plan to burn slash piles near Joe Moore Reservoir. The project is situated in Montezuma County, in the Millwood/Chicken Creek area of the district, north of Mancos off FSR 559. We plan to burn 300 piles, weather and conditions permitting. Smoke will be visible from Highway 184 and Highway 160, but should stay away from populated areas. Signs will be posted to notify the public of prescribed burning activity near the treatment area.  Ignitions of the piles will not start before 9am and continue past 3pm on Thursday, January 20th. There is no need to contact dispatch about smoke seen from this prescribed burn.
Reintroduction of fire is necessary to improve and restore vegetative conditions. This effort will reduce hazardous ground fuels, lessen the risk of unplanned large-scale wildfire, help restore ecosystems, and improve wildlife habitat. Prescribed fire also reduces the ladder fuels that can carry fire into the canopy, killing mature trees. 
Prescribed fire smoke may affect your health. For information, visit: https://www.colorado.gov/pacific/cdphe/wood-smoke-and-health.
For additional information on planned burns, please contact the San Juan Public Affairs Officer at 970-422-2939.

",https://inciweb.nwcg.gov/incident/6288/,Prescribed Fire,N/A,"37.279 latitude, -107.882 longitude",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Monday November 18th, 2019 approx.   10:00 AM",N/A,N/A,N/A
Cedar Central Prescribed Burn,"

Image options: [ Full Size ] KINGS CANYON NATIONAL PARK, Calif.  – Fire staff completed ignitions on the last segment of the Cedar Central Prescribed Burn unit on Monday, May 25, 2020, for a total of 245 acres treated since Sunday. With ignitions complete, firefighters will continue to patrol the area as vegetation inside the unit self-extinguishes.The Cedar Central Prescribed Burn is located east of Moraine Campground, north and south of Highway 180, west of Roads End, and on both sides of the Kings River.
When Cedar Grove opens to the public, visitors driving or hiking near the area may see smoke and/or areas of active flame. For safety, trail closures in the prescribed burn and on some trails leading to it will remain closed until conditions in the area have progressed to a stage where minimal public hazard remains, as determined by the Burn Boss or the parks’ Fire Management Officer. 
“We are grateful for the public’s understanding of the trail and area closures on this prescribed burn,” said Jeremy Loyd, burn boss trainee. “Hazards such as fire weakened trees, snags, and pockets of heat may not be readily apparent from a distance. We want everyone to return home safe.”  
Smoke impacts are expected to be limited to Cedar Grove, and will lessen as fuels within the prescribed burn area are consumed and ultimately go out. Sequoia and Kings Canyon National Parks work with the San Joaquin Air Pollution Control District to coordinate and regulate smoke contributions to the airshed. For more information about air quality in Sequoia and Kings Canyon National Parks visit go.nps.gov/sekiair. For regional information about air quality visit www.valleyair.org.
    

",https://inciweb.nwcg.gov/incident/6353/,Prescribed Fire,Sequoia & Kings Canyon National Parks - Cremers / Loyd(t),"36.784 latitude, -118.633 longitude","Mixed conifer, deciduous",N/A,N/A,"Cedar Grove, Kings Canyon National Park, east of Moraine Campground, north of Highway 180, and south and west of the Kings River",N/A,245 Acres,4,This is the second phase of the Cedar Central Prescribed Burn. The first phase was completed in June 2019 in which 218 acres of the total 463 acre project were completed.,N/A,N/A,None.,N/A,Unit continues to be patrolled by firefighters.,N/A,N/A
Woodbury Fire,"

Image options: [ Full Size ]The Woodbury is now 100% controlled.  State Route 88 Closure: Because of the potential for severe flooding from areas burned in the Woodbury Fire, a 7-mile, unpaved section of State Route 88 (Apache Trail) will remain closed from an area several miles east of Tortilla Flat to just west of the Apache Lake marina turnoff while the Arizona Department of Transportation continues assessing conditions. All inquiries in regards to the closure on State Route 88 (Apache Trail Historic Road) should be directed to ADOT. You can submit questions to ADOT by online form or phone by visiting https://azdot.gov/contact. Tortilla Flat business remain open. Additional information regarding the highway closure can be found at: https://azdot.gov/media/News/news-release/2019/07/29/seven-mile-stretch-of-sr-88-remains-closed-due-to-flooding-risk  Forest Closure: For the purposes of public safety, the forest closure extends beyond the fire perimeter. The forest closure includes a portion of the Arizona Trail (AZT) and Hewitt Station (Forest Road 357). The perimeter of the closure area starts at the forest boundary north of Apache Junction on SR 88 which makes the northern boundary of the closure area, east and south of SR 88 to Roosevelt Dam at State Highway 188 following forest boundary north of Highway 60. Any violation of this closure is punishable by a fine of not more than $5,000 for individuals or $10,000 for organizations, or by imprisonment for not more than six (6) months, or both. Learn more at https://www.fs.usda.gov/alerts/tonto/alerts-notices/?aid=53158 Businesses remain open along Highway 188 and along State Highway 88 (Apache Trail) from Tortilla Flat south to Apache Junction, and Apache Lake Marina on the upper end. 
Forest Service Closed sites: Crabtree Wash, Davis Wash and Fish Creek. Additional information can be found at: https://www.fs.usda.gov/alerts/tonto/alerts-notices/?aid=53917
Open Lakes and Campsites: Canyon Lake, Saguaro Lake, Bartlett Lake, Horseshoe Lake, Lower Salt River, Roosevelt Lake (Roosevelt Marina and RV Park, Windy Hill, Grapevine, School House, Frazier, Frazier Group Site, Cholla Campground, and Frazier Horse Camp), and Apache Lake (Apache Lake Marina, Three Mile Wash, Burnt Corral, Lower Burnt Corral Shoreline Area, and Upper Burnt Corral Shoreline Area).
BAER: The BAER team completed their assessment and have provided a report to Tonto National Forest. Agency Information on the Woodbury Fire BAER efforts can be found here: https://inciweb.nwcg.gov/incident/6405/. 
Links for more information· Tonto National Forest remains in Stage 1 Fire Restrictions. For details visit: https://www.fs.usda.gov/alerts/tonto/alerts-notices/?aid=52969 and remember fireworks are always prohibited.· Woodbury Fire Area Closure Information: https://www.fs.usda.gov/alerts/tonto/alerts-notices/?aid=53158· Tonto National Monument (NPS) information: https://www.nps.gov/tont/index.htm· For current Arizona Department of Transportation information visit: https://az511.gov/ 


",https://inciweb.nwcg.gov/incident/6382/,Wildfire,Brent Davidson - Type 3 Incident Commander/Rigo Flores- Incident Commander Trainee,"33.409 latitude, -111.199 longitude","Tall Grass (2.5 feet)
Brush (2 feet)
Chaparral (6 feet)
Abundant, fully-cured, invasive and native grasses are present at all elevations. Presence of invasive grass species increase on lower slopes within the Sonaran Desert ecosystems. Grass and grass-shrub fuels (GR2/GS2) primarily occupy elevations below 4500', while continuous stands of brush, mesquite and Pinyon-Juniper exist at higher elevations and riparian areas (SH5). Fuel continuity and loading is highly variable across the landscape as determined by elevation, aspect and topography. Measured live fuel moistures of 75% in local area.","12 hours:
No anticipated perimeter growth. Fire activity limited to interior pockets of unburned fuel. 
24 hours:
No anticipated growth.","Tri-City Fire District, Tonto National Forest, Tonto Basin Fire Department, Superstition Fire & Medical District, Pinal County Sheriff's Office, Pinal County Emergency Management, Maricopa County Sheriff's Office, Gila County Sheriff's Office , Gila County Sheriff's Office, Gila County Emergency Management, Freeport McMoRan, City of Globe, BJP MineBHP Mine, AZ Department of Transportation, AZ Department of Emergency Mgmt, Arizona Public Service, Arizona Department of Public Safety, Arizona Department of Forestry and Fire Management, Arizona Department of Forestry and Fire Management, Arizona Department of Environmental Quality, American Red Cross, FEMA, American Red Cross","5 miles NW of Superior, AZ",Wildfire,"123,875 Acres",15,N/A,Unknown,Monitor and patrol the fire perimeter. Initial attack responsibilities will be continued.,N/A,"Saturday June 08th, 2019 approx.   01:30 PM",Minimal creeping and smoldering,100%,"Monday July 15th, 2019 approx.   12:00 AM"
Magic Feather Prescribed Burn,"

Image options: [ Full Size ]·Ignitions on the Magic Feather Prescribed Burn near Red Feather Lakes have been completed for today (12/3) with an additional 50 acres burned, bringing the two-day total to 90 acres. No ignitions are expected tomorrow, but firefighters will be patrolling and monitoring the area throughout the weekend and until snow is forecasted early next week. Smoke will remain visible in the area over the next few days and the Mount Margaret Trail system remains closed through the weekend. 
Firefighters on the Canyon Lakes Ranger District of the Roosevelt National Forest are closely monitoring local conditions, including favorable winds, to begin prescribed fire operations as soon as Dec. 2, 2021, on the Magic Feather Prescribed Burn to improve forest health.  Burning is planned on the interior of already established blacklines around the unit, providing a control feature, and staffing will be over the minimum levels identified in the burn plan. Timing of this is meant to take advantage of conditions that allows the burn to more closely mimic natural fire behavior in these types of fuels, allowing fire to carry throughout the burn unit to meet the burn objectives.  This burn is located east and southeast of Red Feather Lakes. Burning operations could include one unit totaling approximately 300 acres, located north of County Road 74E (Red Feather Lakes Road). Work has already taken place in the area to prepare for ignitions, including tree cutting around the perimeter and within the interior of the project.  Appropriate, localized conditions must be met before ignition of prescribed burns can take place. Fire managers have been carefully monitoring these conditions, including favorable weather forecast (temperature, wind, precipitation, relative humidity), fuel moisture, smoke dispersal and staffing. Weather is monitored throughout the burn and burning will be halted if conditions fall outside of the required conditions.  Residents and visitors in the area should expect to see smoke when operations are taking place. The Mount Margaret Trail system will be closed during operations. Please follow all signage. Smoke may also impact those using the Dowdy Lake Campgrounds and Day-Use Area.  

",https://inciweb.nwcg.gov/incident/6403/,Prescribed Fire,N/A,"40.764 latitude, -105.542 longitude",N/A,N/A,N/A,N/A,Areas targeted for 2021 are located north of County Road 74E.,"6,329 Acres",N/A,"6,329 acres is for the entire project area. Typically firefighters burn in smaller units within this entire project area.",N/A,N/A,N/A,N/A,"Implementation taking place the week of October 4, 2021.",N/A,N/A
Woodbury Fire - BAER,"

Image options: [ Full Size ] Burned Area Emergency Response (BAER) teams have been established to begin burned area surveys of the wildfires that recently burned on federal lands of the U.S. Forest Service - Southwestern Region. BAER team surveys are rapid assessments of the burned areas that evaluate post-fire conditions of the burned watersheds and determine the potential for increased post-fire flooding, sediment flows, and rockslides.   BAER teams typically consist of scientists and specialists including hydrologists, geologists, soil scientists, road engineers, botanists, wildlife and fisheries biologists, archaeologists, recreation and trails specialists, and geographic information specialists, from federal and state agencies. BAER teams work together during the burned area surveys, field data analysis and modeling phase, to present findings along with recommended BAER treatments to the Forest Supervisor.   BAER teams analyze the data they collect during the surveys, to produce a “Soil Burn Severity” map. This is the first step in assessing potential watershed impacts from wildfires to any downstream values that may be at-risk from potential increased flooding, sedimentation, debris flows, and rockslides. BAER teams produce a report that includes a description of the assessment and findings for the burned area’s post-fire conditions along with recommended emergency stabilization measures and actions. BAER emergency stabilization efforts are focused on the protection of human life, safety and property, as well as critical cultural and natural resource values such as the water quality of lakes, rivers, and streams.   BAER reports are also shared with interagency cooperators who work with downstream private home and landowners to prepare for potential post-fire flooding and sediment flow impacts.   SPECIAL NOTE: Everyone near and downstream from the burned areas should remain alert and stay updated on weather conditions that may result in heavy rains over the burn scars. Flash flooding may occur quickly during heavy rain events. Current weather and emergency notifications can be found at the following websites: https://www.weather.gov/psr/ and https://www.spc.noaa.gov/ products/wwa/. 

",https://inciweb.nwcg.gov/incident/6405/,Burned Area Emergency Response,N/A,"33.443 latitude, -111.166 longitude",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
