fire Name,NER Name Extracted
Slash Pile Burning 2021,"('Lump Gulch', 'PERSON'), ('Boulder', 'LOCATION'), ('Cedar Park', 'LOCATION'), ('Boulder Ranger District', 'LOCATION'), ('Keyser RidgeSimpson', 'PERSON'), ('Southwest of Fraser', 'ORGANIZATION'), ('Gilpin County South Side of Gilpin Rd', 'LOCATION'), ('Drake', 'LOCATION'), ('Ralph Price Reservoir', 'ORGANIZATION'), ('U.S. Forest Service Stub Creek Work Center', 'ORGANIZATION'), ('Peak Lump Gulch', 'PERSON'), ('Clear Creek', 'LOCATION'), ('Jamestown', 'LOCATION'), ('Estes Park', 'LOCATION'), ('Pearl Beaver Road ) Estes Valley', 'LOCATION'), ('Bar K RanchJames Creek', 'LOCATION'), ('Vasquez', 'PERSON'), ('Gilpin Road', 'LOCATION'), ('GlendevyThompson River', 'LOCATION'), ('Cold Springs', 'LOCATION'), ('Wycolo', 'LOCATION'), ('Rollinsville', 'LOCATION'), ('Upper Fraser', 'PERSON'), ('Keyser Creek', 'LOCATION'), ('Little Valley', 'LOCATION'), ('Gross Reservoir Areas', 'LOCATION'), ('Red Feather Lakes', 'LOCATION'), ('Fraser', 'PERSON'), ('Blue Ridge St Louis Creek', 'ORGANIZATION'), ('Clear Creek Ranger District ( Clear Creek County', 'LOCATION'), ('PeakLump Gulch', 'PERSON'), ('Estes ParkThompson River', 'LOCATION'), ('Gilpin County', 'LOCATION'), ('Lump Gulch Road', 'LOCATION'), ('South of County Road 50', 'LOCATION'), ('Facebook', 'ORGANIZATION'), ('Meadow Creek ReservoirBlue Ridge Machine', 'ORGANIZATION'), ('Peak Highway', 'LOCATION'), ('Lyons', 'PERSON'), ('Gilpin', 'PERSON'), ('Wondervu', 'LOCATION')"
Elkhorn-Pingree Hill Prescribed Burns,"('Poudre Canyon', 'LOCATION'), ('Elkhorn', 'LOCATION'), ('Elkhorn Prescribed Burn', 'LOCATION'), ('Arrowhead Visitor Center', 'LOCATION'), ('Kelly Flats Road', 'LOCATION'), ('Pingree Hill', 'LOCATION'), ('Pingree Hill Prescribed Burn', 'LOCATION'), ('Elkhorn-Pingree Hill Prescribed Burn', 'LOCATION'), ('Elkhorn - Pingree Hill Prescribed Burn', 'LOCATION'), ('Sevenmile Road', 'LOCATION')"
Bighorn Sheep Prescribed Burn,"('Poudre Canyon', 'LOCATION'), ('Roaring Creek Trailhead', 'LOCATION'), ('Colorado Parks and Wildlife', 'ORGANIZATION'), ('Roaring Creek Trail', 'LOCATION'), ('Canyon Lakes Ranger District', 'LOCATION'), ('Roosevelt National Forest', 'ORGANIZATION')"
2021 Umatilla NF Prescribed Fire,"('Umatilla National Forest', 'ORGANIZATION'), ('NEPA', 'ORGANIZATION'), ('Oregon Department of Forestry', 'ORGANIZATION')"
Kaibab NF South Zone Rx Fire,"('Kabab National Forest', 'LOCATION'), ('Grand Canyon National Park', 'LOCATION'), ('Williams', 'LOCATION'), ('Kaibab National Forest', 'ORGANIZATION'), ('Tusayan Ranger District', 'LOCATION')"
San Juan NF Prescribed Fire Program,"('Mancos', 'LOCATION'), ('MillwoodChicken Creek', 'LOCATION'), ('San Juan National Forest Fuels Management Staff', 'ORGANIZATION'), ('San Juan Public Affairs Officer', 'ORGANIZATION'), ('Dolores Ranger District Fire', 'ORGANIZATION'), ('Dolores Ranger', 'PERSON'), ('Montezuma County', 'LOCATION'), ('Joe Moore Reservoir', 'LOCATION')"
Cedar Central Prescribed Burn,"('Cedar Central Prescribed Burn', 'LOCATION'), ('San Joaquin Air Pollution Control District', 'ORGANIZATION'), ('Calif.', 'LOCATION'), ('Jeremy Loyd', 'PERSON'), ('Sequoia', 'LOCATION'), ('Cedar Grove', 'LOCATION'), ('Cedar Central Prescribed Burn', 'ORGANIZATION'), ('Moraine Campground', 'LOCATION'), ('Cedar Grove', 'PERSON'), ('Kings Canyon National Parks', 'ORGANIZATION'), ('NATIONAL PARK', 'LOCATION'), ('Kings River', 'LOCATION'), ('Highway 180', 'LOCATION')"
Woodbury Fire,"('Roosevelt Dam', 'LOCATION'), ('Horseshoe Lake', 'LOCATION'), ('Forest Service', 'ORGANIZATION'), ('Apache Lake ( Apache Lake Marina', 'LOCATION'), ('Tortilla Flat', 'LOCATION'), ('Roosevelt Lake ( Roosevelt Marina', 'LOCATION'), ('Three Mile Wash', 'LOCATION'), ('Woodbury Fire BAER', 'ORGANIZATION'), ('Tonto National Forest', 'ORGANIZATION'), ('Arizona', 'LOCATION'), ('Frazier Group Site', 'ORGANIZATION'), ('Davis Wash', 'PERSON'), ('Saguaro Lake', 'LOCATION'), ('Apache Lake', 'LOCATION'), ('School House', 'ORGANIZATION'), ('ADOT', 'ORGANIZATION'), ('Crabtree Wash', 'PERSON'), ('Apache Lake Marina', 'LOCATION'), ('Cholla Campground', 'LOCATION'), ('Arizona Department of Transportation', 'ORGANIZATION'), ('Fish Creek', 'ORGANIZATION'), ('Windy Hill', 'PERSON'), ('Bartlett Lake', 'LOCATION'), ('BAER', 'PERSON'), ('State Highway 188', 'LOCATION'), ('Frazier', 'PERSON'), ('Canyon Lake', 'LOCATION'), ('Lower Salt River', 'LOCATION'), ('Apache Junction', 'LOCATION'), ('State Highway 88', 'LOCATION'), ('Hewitt Station', 'ORGANIZATION')"
Magic Feather Prescribed Burn,"('Magic Feather Prescribed Burn', 'ORGANIZATION'), ('Red Feather Lakes', 'LOCATION'), ('County Road', 'LOCATION'), ('Canyon Lakes Ranger District', 'LOCATION'), ('Mount Margaret Trail', 'LOCATION'), ('Roosevelt National Forest', 'ORGANIZATION')"
Woodbury Fire - BAER,"('Southwestern Region', 'LOCATION'), ('BAER', 'PERSON'), ('BAER', 'ORGANIZATION'), ('U.S. Forest Service', 'ORGANIZATION')"
