Article Name,NER Name Extracted
2020s_wildfire_season_is_historic_charring_more__Colorado_Sun_The_CO___October_26_2020.txt,"('Lester', 'PERSON'), ('Grand County', 'LOCATION'), ('Colorado Sun', 'ORGANIZATION'), ('Larimer', 'LOCATION'), ('Colorado', 'LOCATION'), ('U.S. Forest Service', 'ORGANIZATION'), ('Continental', 'ORGANIZATION'), ('Cameron Peak', 'PERSON'), ('Utah State University', 'ORGANIZATION'), ('U.S.', 'LOCATION'), ('Colorado State Forest Service', 'ORGANIZATION'), ('Rockies', 'LOCATION'), ('Bridget Kochel', 'PERSON'), ('Colorado Parks and Wildlife', 'ORGANIZATION'), ('Mike Lester', 'PERSON'), ('Noel Livingston', 'PERSON'), ('Livingston', 'PERSON')"
20_years_of_planning_saved_Rocky_Mountain_National__Colorado_Sun_The_CO___June_20_2021.txt,"('Colorado Sun', 'ORGANIZATION'), ('Larimer County', 'LOCATION'), ('Estes Valley', 'LOCATION'), ('Fern Lake', 'LOCATION'), ('Lewelling', 'PERSON'), ('Cameron Peak', 'PERSON'), ('Fort Collins', 'LOCATION'), ('Estes Park', 'LOCATION'), ('Green Mountain', 'LOCATION'), ('Beaver Meadows', 'PERSON'), ('Trail Ridge Road', 'LOCATION'), ('Colorado River', 'LOCATION'), ('Cameron', 'PERSON'), ('Mike Lewelling', 'PERSON'), ('National Weather Service', 'ORGANIZATION'), ('Michael Booth Early', 'PERSON'), ('Glen Haven', 'LOCATION'), ('Cub Lake', 'LOCATION'), ('Mount Wuh', 'LOCATION'), ('Buthe', 'PERSON'), ('Never Summer Range', 'LOCATION'), ('Forest Canyon Overlook on Trail Ridge Road', 'LOCATION'), ('Continental', 'ORGANIZATION'), ('Colorado', 'LOCATION'), ('Bear Lake Road', 'LOCATION'), ('Rockies', 'LOCATION'), ('Koren Nydick', 'PERSON'), ('Old Fall River Road', 'LOCATION'), ('Rocky Mountain Park', 'LOCATION'), ('Instagram', 'LOCATION'), ('Beaver Mountain', 'LOCATION'), ('Grand Lake', 'LOCATION'), ('Doug', 'PERSON'), ('Spruce Canyon', 'LOCATION'), ('Nydick', 'PERSON'), ('Lewelling', 'LOCATION'), ('Darla Sidles', 'PERSON'), ('Youth Conservation Corps', 'ORGANIZATION'), ('Beaver Meadows', 'LOCATION'), ('Bear Lake', 'LOCATION'), ('Upper Beaver Meadows Road', 'LOCATION'), ('Moraine Park', 'LOCATION'), ('Longmont', 'LOCATION'), ('Parker', 'PERSON'), ('Onahu Lodge', 'ORGANIZATION'), ('Kawuneeche', 'LOCATION'), ('Fern Lake', 'PERSON'), ('Corral Creek Trailhead Bridge', 'LOCATION'), ('Switzerland', 'LOCATION'), ('Great Smoky Mountains National Park', 'LOCATION'), ('Doug Parker', 'PERSON'), ('Sprague Mountain', 'LOCATION'), ('YMCA', 'ORGANIZATION'), ('Rocky Mountain National Park', 'LOCATION'), ('Rocky Mountain', 'LOCATION')"
416_Fire_turned_out_to_be_a_healthy_burn_for_the__Journal_The_Cortez_Dolores_Mancos_CO___August_28_2020.txt,"('Mountain Studies Institute', 'ORGANIZATION'), ('Missionary Ridge Fire', 'LOCATION'), ('Southwest Colorado', 'LOCATION'), ('San Juan', 'LOCATION'), ('Rapid Gambel', 'PERSON'), ('San Juan National Forest', 'LOCATION'), ('Herald', 'ORGANIZATION'), ('Fort Lewis College', 'ORGANIZATION'), ('William Baker', 'PERSON'), ('Forest Service', 'ORGANIZATION'), ('Jerry McBrideDurango Herald', 'PERSON'), ('Michael Remke', 'PERSON'), ('Jo', 'PERSON'), ('Seth Bogle', 'PERSON'), ('Baker', 'PERSON'), ('California', 'LOCATION'), ('Remke', 'PERSON'), ('Julie Korb', 'PERSON'), ('Mancos', 'LOCATION'), ('University of Wyoming', 'ORGANIZATION'), ('Hurricane Bud', 'PERSON'), ('Jonina Vanderbilt', 'PERSON'), ('Africa', 'LOCATION'), ('Creek', 'LOCATION'), ('Manco', 'ORGANIZATION'), ('Jonathan Romeo', 'PERSON'), ('Durango', 'LOCATION'), ('Korb', 'PERSON'), ('Pacific Ocean', 'LOCATION'), ('CO', 'LOCATION'), ('Hermosa Creek', 'LOCATION'), ('Gambel', 'PERSON'), ('Bud', 'PERSON'), ('Dolores', 'PERSON'), ('west coast of Mexico', 'LOCATION')"
A - Act_now_to_guard_against_wildfire__Montrose_Daily_Press_The_CO___May_4_2020.txt,"('WRWC', 'ORGANIZATION'), ('Jamie Gomez', 'PERSON'), ('Montrose Daily Press', 'ORGANIZATION'), ('West Region Wildfire Council', 'ORGANIZATION'), ('Mo', 'PERSON'), ('Katharhynn Heidelberg', 'LOCATION'), ('Daniel Beveridge', 'PERSON'), ('Southwest', 'LOCATION'), ('Colorado State Forest Service', 'ORGANIZATION'), ('Rocky Mountain Insurance Association', 'ORGANIZATION'), ('Colorado Project Wildfire', 'ORGANIZATION'), ('National Fire Protection Association', 'ORGANIZATION'), ('Gunnison County', 'LOCATION'), ('Colorado Association of Realtors', 'ORGANIZATION'), ('Gomez', 'PERSON')"
A - Allenspark firefighters get needed equipment.txt,"('Lyons', 'PERSON'), ('Estes Park', 'LOCATION'), ('Mike Cousineau', 'PERSON'), ('Continental', 'ORGANIZATION'), ('Area Club', 'ORGANIZATION'), ('Leo Touzjian', 'PERSON'), ('U.S. Forest Service', 'ORGANIZATION'), ('Johnathon Oppermann', 'PERSON'), ('Durstine', 'PERSON'), ('Allenspark Fire Department', 'ORGANIZATION'), ('Larimer', 'LOCATION'), ('Allenspark Fire Protection District', 'ORGANIZATION'), ('Boulder Counties', 'LOCATION'), ('Tamara Durstine', 'PERSON'), ('Couseineau', 'PERSON'), ('Northern Colorado', 'LOCATION'), ('Oppermann', 'PERSON'), ('Pinewood Springs', 'LOCATION'), ('Lefthand Canyon', 'LOCATION')"
A - Analyzing data on the Crystal River near Redstone he calcula.txt,"('Lukas', 'PERSON'), ('Swift Communications', 'ORGANIZATION'), ('Jake DeWolfe', 'PERSON'), ('Colorado', 'LOCATION'), ('Marble', 'LOCATION'), ('Aspen Journalism', 'ORGANIZATION'), ('Colorado Mo', 'ORGANIZATION'), ('Colorado River', 'LOCATION'), ('Co', 'ORGANIZATION'), ('Glenwood Springs', 'LOCATION'), ('Osenga', 'PERSON'), ('Aspen Times', 'ORGANIZATION'), ('Lake Powell', 'LOCATION'), ('Redstone', 'LOCATION'), ('Aspen Global Change Institute', 'ORGANIZATION'), ('Crystal River', 'LOCATION'), ('Elise Osenga', 'PERSON'), ('Carbondale', 'LOCATION')"
A - An_unexpected_variable_Experimental_Forest_digs__Sky-Hi_News_Granby_CO___August_21_2020.txt,"('Elder', 'PERSON'), ('Granby', 'LOCATION'), ('County Road 73', 'LOCATION'), ('Kelly Elder', 'PERSON'), ('West', 'LOCATION'), ('Deadhorse Trail', 'LOCATION'), ('Starr', 'PERSON')"
A - Black_Forest_residents_express_concerns_about_new__Gazette_The_Colorado_Springs_CO___April_18_2021.txt,"('Black Forest', 'ORGANIZATION'), ('El Paso County', 'LOCATION'), ('Black Forest Preservation Plan', 'LOCATION'), ('Gebhart', 'PERSON'), ('Stokka', 'PERSON'), ('Cathedral Pines', 'ORGANIZATION'), ('Colorado Springs', 'LOCATION'), ('Black Forest', 'LOCATION'), ('Pines', 'LOCATION'), ('Stokka', 'LOCATION'), ('El Paso County Planning', 'LOCATION'), ('Mark Gebhart', 'PERSON'), ('Craig Dossey', 'PERSON'), ('Black Forest Preservation Plan', 'ORGANIZATION'), ('Dossey', 'PERSON'), ('Houseal-Lavigne Associates', 'ORGANIZATION')"
A - Cameron_Peak_fire_resulted_in_a_market_loss_of__Gazette_The_Colorado_Springs_CO___January_14_2021.txt,"('Bill', 'PERSON'), ('Colorado Parks', 'LOCATION'), ('Larimer County', 'LOCATION'), ('Angelique Curtis', 'PERSON'), (""Larimer County Assessor 's Office"", 'ORGANIZATION'), ('Curtis', 'PERSON'), ('Cameron Peak', 'PERSON'), ('Arapahoe', 'LOCATION'), ('Colorado Springs', 'LOCATION'), ('Chambers Lake', 'LOCATION'), ('Cameron Pass', 'LOCATION'), ('Long Draw', 'LOCATION'), ('Cameron Peak Fire', 'ORGANIZATION'), ('David Mullen', 'PERSON'), ('Roosevelt National Forest', 'ORGANIZATION'), ('Bob Overbeck', 'PERSON'), ('Laramie River Valley', 'LOCATION')"
A - City of Durango invites comments on sustainability plan  Ini.txt,"('Virtual City Hall', 'LOCATION'), ('U.S.', 'LOCATION'), ('Imogen Ainsworth', 'PERSON'), ('BLM', 'ORGANIZATION'), ('Trump Administration', 'ORGANIZATION'), ('Colorado', 'LOCATION'), ('Outdoor Industry Association', 'ORGANIZATION'), ('City Council', 'ORGANIZATION'), ('Paonia', 'LOCATION'), ('Valley', 'LOCATION'), ('North Fork', 'LOCATION'), ('Bureau of Land Management', 'ORGANIZATION'), ('Durango', 'LOCATION'), ('Colorado Energy Office', 'ORGANIZATION'), ('Paonia Reservoir', 'LOCATION'), ('North Fork Valley', 'LOCATION'), ('Jumbo Mountain', 'LOCATION'), ('Bennet', 'PERSON'), ('Gunnison River', 'LOCATION'), ('Sarah Kelly', 'PERSON')"
